9.02364	0
9.16354	0.139901
9.28013	0.14184
9.33844	0.116012
9.37836	0.0983318
9.37541	0.0803418
9.39583	0.0709051
9.39903	0.0614888
9.4155	0.0566757
9.40209	0.0524379
9.41155	0.0483669
9.43072	0.0481357
9.42924	0.0443031
9.43215	0.0411196
9.44465	0.0402685
9.43187	0.039778
9.42578	0.037857
9.43236	0.0362925
9.44831	0.0378537
9.44552	0.0360192
9.44739	0.034312
9.44052	0.0334273
9.46098	0.0379286
9.45624	0.0366213
9.45197	0.0353849
9.45272	0.034005
9.44993	0.0328401
9.45095	0.0316621
9.45394	0.0306964
9.46024	0.0303184
9.45261	0.0303009
9.45917	0.0300617
9.44906	0.0308384
9.45315	0.0301952
9.45508	0.0293836
9.45129	0.028807
9.45411	0.0281601
9.45903	0.0278462
9.45311	0.0277608
9.45239	0.0270674
9.45787	0.0269612
9.45641	0.0263521
9.45414	0.025832
9.45614	0.0253176
9.45611	0.0247486
9.4531	0.0243917
9.45598	0.0240401
9.46123	0.0241125
9.45593	0.0242023
9.45853	0.0238551
